,score_home,score_away,spread_favorite,spread_covered,over_under_line,over_under_result,home_team_fav,home_win%,home_team_ppg,home_team_oppg,home_p_diff,away_win%,away_team_ppg,away_team_oppg,away_p_diff,home_win_exp,away_win_exp
1244,28,3,-2.0,1,37.5,0,1,0.25,15.5,14.75,0.75,0.25,16.0,26.75,-10.75,0.563,0.052
1245,16,13,-3.5,0,45.5,0,1,0.6,24.2,19.6,4.6,0.75,34.0,24.5,9.5,0.768,0.881
1246,28,20,-3.0,1,44.0,1,1,0.8,20.2,17.4,2.8,0.6,23.6,27.2,-3.6,0.692,0.302
1247,20,21,0.0,0,42.0,0,0,0.5,17.75,18.75,-1.0,0.6,25.4,23.2,2.2,0.427,0.629
1248,28,21,-6.5,1,42.5,1,1,0.5,22.75,22.75,0.0,0.75,15.5,14.5,1.0,0.5,0.584
1249,31,34,-4.0,0,42.0,1,0,0.4,14.2,27.8,-13.6,0.6,22.8,17.6,5.2,0.023,0.808
1250,14,27,0.0,0,50.5,0,0,0.25,19.0,22.25,-3.25,0.4,29.8,22.4,7.4,0.293,0.845
1251,17,23,-5.0,0,36.0,1,1,0.75,26.25,14.75,11.5,0.6,17.0,16.8,0.2,0.961,0.516
1252,42,10,-8.5,1,45.5,1,1,0.6,25.2,21.4,3.8,0.0,11.0,24.75,-13.75,0.719,0.013
1253,27,13,-4.5,1,33.0,1,1,0.8,17.8,11.8,6.0,0.5,20.5,17.75,2.75,0.89,0.687
1254,23,31,-3.0,1,44.5,1,0,0.4,20.6,25.2,-4.6,0.8,24.8,12.2,12.6,0.239,0.979
1255,45,28,-13.0,1,50.5,1,1,1.0,21.2,5.8,15.4,0.4,25.6,29.6,-4.0,0.998,0.295
1256,20,30,-1.0,1,42.5,1,0,0.4,19.0,19.6,-0.6,0.6,23.8,22.4,1.4,0.458,0.586
1257,20,10,-3.0,1,45.0,0,1,0.2,18.8,26.8,-8.0,0.33299999999999996,21.0,26.17,-5.17,0.116,0.219
1258,10,6,-1.0,1,32.0,0,1,0.4,18.0,12.4,5.6,0.4,12.6,18.0,-5.4,0.871,0.138
1259,13,27,-3.0,0,43.0,0,1,0.833,25.83,14.0,11.83,0.6,24.4,16.4,8.0,0.967,0.901
1260,10,13,-3.0,0,36.0,0,1,0.4,13.6,18.0,-4.4,0.4,18.2,19.2,-1.0,0.19,0.428
1261,20,38,-14.5,1,44.5,1,0,0.0,10.8,28.2,-17.4,1.0,25.17,9.5,15.67,0.005,0.994
1262,23,20,-2.0,1,46.0,0,1,0.2,13.4,27.0,-13.6,0.2,24.8,19.0,5.8,0.02,0.819
1263,24,23,-2.0,0,46.5,1,1,0.6,29.8,22.8,7.0,0.833,21.5,17.83,3.67,0.831,0.737
1264,38,17,-3.0,1,42.0,1,1,0.2,18.0,23.2,-5.2,0.5,15.83,16.67,-0.84,0.195,0.433
1265,20,17,-4.0,0,47.0,0,1,0.6,24.4,20.2,4.2,0.5,29.33,21.0,8.33,0.746,0.877
